Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
65	42.83345	115.3399	141.32802	-146.92532	782.3333	-2.8726585	12.539334	39.870575	-39.84532	330000	-3.900528e-08	555.1183	-0.007972625	-323.65942	0.7637197	0.011322872	0.0692	79.0	658.4501864910126
66	26.003784	68.56696	112.668785	-72.61014	725.3333	2.9167373	13.09298	55.451683	-46.73439	335000	2.2888184e-08	221.551	-0.00986806	-151.41412	0.8093515	0.009382036	0.0754	79.0	667.7600317001343
67	37.650673	57.114063	110.61725	-29.188152	914.8	-1.3730261	15.620725	70.82436	-56.54379	340000	-2.0980835e-09	137.26602	-0.010163683	-90.09033	0.79498005	0.0056269257	0.0852	79.0	677.5497968196869
68	57.117393	35.74284	124.90303	25.53534	939.0	6.4937267	14.301379	109.23956	-10.612104	345000	3.1948089e-09	219.19064	-0.0099750925	-124.90559	0.79566574	0.007373362	0.061	79.0	687.5163941383362
69	81.70711	17.60505	112.23413	62.244358	1000.0	2.94492	9.352093	61.013306	-20.66738	350000	-7.629395e-09	21.607513	-0.011169635	-12.405605	0.85000193	0.011330343	0.0772	79.0	697.7430095672607
70	59.925964	46.382847	140.30118	1.7105131	978.0	4.5149946	6.9973297	34.65839	-12.96999	355000	3.0517577e-09	95.75311	-0.006605951	-41.821037	0.8104906	0.0077311876	0.0482	79.0	709.4429125785828
71	46.48982	59.282116	133.40204	-49.255707	913.6	3.9318454	14.7054615	94.34521	-18.849407	360000	-1.2207031e-08	170.20451	-0.007045453	-59.24009	0.7718918	0.0048685716	0.0314	79.0	719.4173154830933
72	15.570317	71.78359	113.72619	-72.115005	841.4	-1.0988975	15.397171	68.474846	-32.844574	365000	-1.5258789e-09	251.37425	-0.0075901267	-90.30916	0.81048274	0.005174465	0.079	79.0	730.4231967926025
73	90.309135	38.16093	147.57278	49.88998	891.4	2.3165557	11.637858	88.697044	-16.597834	370000	-3.051758e-08	174.98682	-0.008602386	-121.37413	0.79238534	0.013442343	0.0928	79.0	740.3227114677429
74	73.05298	51.817398	153.91129	-4.8541293	981.0	6.262391	11.308562	80.53367	-13.191631	375000	3.6621095e-08	81.13446	-0.0070721866	-31.975632	0.8051426	0.008368482	0.0762	79.0	750.9406821727753
75	85.16731	42.15081	155.36018	33.74028	941.6	4.651999	12.854704	82.20009	-13.875826	380000	1.2207031e-08	79.99597	-0.0076675904	-26.93621	0.7731019	0.007875924	0.0512	79.0	760.7164478302002
76	84.079285	49.172794	161.13141	37.27854	960.0	7.2673907	10.538962	59.066086	-8.73535	385000	1.2207031e-08	114.8487	-0.005180371	-49.328415	0.7361448	0.0058939573	0.0672	79.0	774.0378561019897
77	78.98376	77.547195	188.38795	-57.25985	787.8333	8.459546	10.608246	73.35669	-19.566153	390000	5.493164e-08	280.8779	-0.009703448	-199.16907	0.7477305	0.0069557023	0.0648	79.0	783.2956781387329
78	76.91659	69.43183	152.07361	-33.56013	874.8	5.1606154	21.691975	100.82514	-29.554731	395000	-1.2588501e-08	271.3845	-0.011011876	-191.63184	0.745047	0.009591316	0.0658	79.0	792.8011021614075
79	84.707886	30.585485	121.69149	47.14855	973.8	5.00945	15.976201	126.88888	-24.254654	400000	0.0	68.8632	-0.008541922	-35.1091	0.7953528	0.0030317297	0.0602	79.0	802.2625975608826
80	71.834785	41.152008	136.7146	26.861595	869.0	5.284527	11.538235	62.925026	-18.348476	405000	0.0	86.62894	-0.008940112	-43.577393	0.778031	0.007748761	0.0804	79.0	811.9866855144501
81	102.7615	80.76168	179.67162	-43.450928	789.5	8.847356	15.530859	79.44683	-25.809515	410000	3.051758e-08	453.5575	-0.007111554	-364.65115	0.7809122	0.015113107	0.0742	66.0	820.0335111618042
82	60.245197	77.43936	144.08505	-38.674767	805.6	-4.771276	23.873037	83.88663	-54.03974	415000	7.6293944e-08	371.06177	-0.00785108	-287.52277	0.815038	0.009494442	0.0702	79.0	830.5004353523254
83	90.44005	47.318893	166.77979	46.724163	876.4	2.6898842	14.585809	77.098015	-20.071398	420000	-6.1035155e-09	98.854324	-0.007950311	-52.08449	0.8121296	0.005659868	0.0728	79.0	840.3884880542755
84	92.52126	30.272936	139.37862	54.184746	928.4	10.564779	12.749724	91.404	-5.97316	425000	-1.8310548e-08	80.09261	-0.009440246	-53.179558	0.7905628	0.0085326005	0.0734	79.0	848.9356508255005
85	40.293526	84.9618	120.78676	-122.27383	849.8	6.36607	14.250147	103.684845	-14.245395	430000	6.1035155e-09	433.8753	-0.010191327	-400.08633	0.8223892	0.0059932335	0.0354	79.0	858.0836956501007
86	88.540855	85.18227	173.90158	-78.934	777.0	10.392027	16.54774	142.0658	-13.149143	435000	0.0	486.7417	-0.008294803	-201.3706	0.7305602	0.013498099	0.1	79.0	865.9271054267883
87	71.694084	58.15384	142.2086	-8.025759	943.0	5.378106	16.6792	98.02836	-58.353344	440000	-6.1035155e-09	128.38162	-0.012172344	-98.18839	0.7372004	0.016572855	0.0978	33.0	874.5156462192535
88	35.106762	25.801676	65.94171	-7.2581367	893.2	4.404812	8.878489	69.79841	-39.65809	445000	-1.8310548e-08	120.820076	-0.0060811006	-42.132515	0.8306856	0.0036075157	0.0364	79.0	884.067319393158
